,index,PNW
0,364635,169821.62916649648
1,364636,206710.66336993538
2,364637,219802.08576655647
3,364638,224078.12048059635
4,364639,252387.27791849108
5,364640,245783.47642222795
6,364641,237056.53912557135
7,364642,248251.99382523986
8,364643,230733.94639344505
9,364644,219796.40542950426
10,364645,211851.77364789476
11,364646,218637.7828125358
12,364647,217790.86305193327
13,364648,214087.7093786629
14,364649,216229.48813843078
15,364650,240509.88439035355
16,364651,238756.7264289639
17,364652,227004.21834147588
18,364653,224410.5740189797
19,364654,226054.61160286682
20,364655,222050.4895246203
21,364656,225738.0908344693
22,364657,231533.9940371671
23,364658,241577.52681070505
24,364659,246860.3376206409
25,364660,259415.03801092829
26,364661,249320.30308961522
27,364662,244241.07732481958
28,364663,233894.29948232387
29,364664,233179.03510496434
30,364665,228938.47245181145
31,364666,218556.22033240134
32,364667,191128.67434541968
33,364668,192361.85679774577
34,364669,179913.5127393414
35,364670,191681.25208863273
36,364671,202540.63086045638
37,364672,221483.60048837084
38,364673,240774.50474642986
39,364674,243288.73279831788
40,364675,236194.30632868825
41,364676,246764.44797344893
42,364677,251331.82688850787
43,364678,257633.903704766
44,364679,255850.3636385571
45,364680,252943.28924925975
46,364681,287316.82298361027
47,364682,312486.57541468344
48,364683,309370.13531116175
49,364684,309786.09964311746
50,364685,316071.4014838936
51,364686,323691.1189430856
52,364687,340490.4850851714
53,364688,334184.6168342285
54,364689,322319.0226207209
55,364690,319395.10523095506
56,364691,316287.790885298
57,364692,314681.40674412757
58,364693,307663.8287561423
59,364694,296625.4720477254
60,364695,222072.23840218698
61,364696,226651.5221747313
62,364697,212787.3963362193
63,364698,204479.06333150252
64,364699,191606.82954330454
65,364700,184154.83220114722
66,364701,182086.83312706015
67,364702,185670.04088096166
68,364703,182954.39707886367
69,364704,184509.6141881385
70,364705,178796.7860714277
71,364706,172369.74329854897
72,364707,182754.78395667678
73,364708,202283.19858147186
74,364709,198522.64472643432
75,364710,203693.14732726762
76,364711,209997.28772227943
77,364712,221469.2359133601
78,364713,228213.21002436843
79,364714,247592.767825189
80,364715,270629.57848970074
81,364716,289018.5385519827
82,364717,312478.5874353192
83,364718,337217.3130229509
84,364719,353963.0677794787
85,364720,361743.8553591311
86,364721,340053.2154264214
87,364722,323668.48581608105
88,364723,316474.959856516
89,364724,316194.99771586095
90,364725,290818.09385577054
91,364726,222426.92194470816
92,364727,207773.36354101796
93,364728,190634.6102077008
94,364729,170343.19048286797
95,364730,164226.45714569296
96,364731,162203.91335165105
97,364732,169120.53559950052
98,364733,163227.95928939848
99,364734,168026.30901901622
100,364735,185144.78706018254
101,364736,219355.5492487464
102,364737,248143.61331331558
103,364738,279557.7486448687
104,364739,316803.6157559275
105,364740,330716.17530308117
106,364741,343736.4941396852
107,364742,358654.7515725663
108,364743,364752.95318217354
109,364744,388612.9249299376
110,364745,432295.7529341272
111,364746,421874.58573909476
112,364747,433506.22608856077
113,364748,436262.6445726304
114,364749,430804.37866199587
115,364750,429139.3478973971
116,364751,430666.0831001606
117,364752,407738.22356371494
118,364753,417790.00410867087
119,364754,366219.9559646682
120,364755,252370.51779897773
121,364756,124588.00583343997
122,364757,112653.5417686821
123,364758,106135.1323414362
124,364759,109791.27777810663
125,364760,113242.60876474263
126,364761,115052.85608309394
127,364762,131756.89856522647
128,364763,148984.14606496884
129,364764,159373.35547744035
130,364765,161063.7614237999
131,364766,149949.47173234067
132,364767,134236.8603070579
133,364768,166131.7300191921
134,364769,149410.81128044645
135,364770,136834.76595538371
136,364771,181348.71085759078
137,364772,247600.44345312007
138,364773,326150.0332635002
139,364774,377242.1908673123
140,364775,417808.747546883
141,364776,431904.5118311743
142,364777,432370.31287890533
143,364778,431698.55090824584
144,364779,430140.7373566037
