,CAISO
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,968.822188196745
8,4068.8670574410844
9,6183.33776981669
10,6630.0569344030855
11,6532.337117149811
12,6546.297091043135
13,6317.353519192608
14,4918.564135081458
15,2346.206279004797
16,335.0393734397966
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,345.94192908714126
32,2711.920790146336
33,4672.572595326864
34,5635.931318833836
35,5633.103455653287
36,5231.546884015351
37,5351.259758658585
38,4816.793617534855
39,2894.789275821828
40,312.95019198073817
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,674.3789345712565
56,3460.419341258705
57,5239.864642066933
58,5209.030207005416
59,5878.435845599007
60,5950.0513076773705
61,5868.489253643679
62,5436.807162782432
63,3487.2751395380915
64,1.989318391065654
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,720.2841416185863
80,3304.263125003649
81,5392.441140951702
82,6616.601184330375
83,6695.7355406965435
84,6535.851841099593
85,5873.707226607171
86,5184.107835416282
87,2829.4569868066433
88,6.459947458462658
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,728.8861486391659
104,2245.049877714558
105,3396.7705324703675
106,4470.971527771458
107,4320.9659529824585
108,4084.379979321956
109,3951.4891345424394
110,3698.795179696541
111,2187.665194741585
112,19.128227657657668
113,8.053990592697966
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,699.6227809804535
128,2403.2317968718335
129,4164.683641111991
130,4730.717032810744
131,5014.422333759511
132,4568.206229354654
133,4086.182659781507
134,2948.60703558888
135,1658.161079331626
136,268.555988762182
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,643.9340523174432
152,2419.4801873009337
153,4543.367772533428
154,5057.917857615526
155,5583.415816848308
156,5657.065152043812
157,5260.951160046374
158,4373.178092554629
159,2683.2244282037504
160,504.5974722178418
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,691.2026896153964
176,2374.308451533202
177,4114.5608925136985
178,4673.781966198596
179,4954.072820648935
180,4513.227010736751
181,4037.0046852143328
182,2913.1199969814247
183,1638.2047997971206
184,265.3238670767762
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,531.8149189304633
200,2390.742447106855
201,4256.13581016386
202,5463.630474118438
203,5843.498273354483
204,6152.24188890378
205,5856.42994311571
206,5373.108785789848
207,3575.606688979285
208,685.3784973450348
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,688.7382194406186
224,3008.384690110754
225,4763.524221903153
226,5548.66591506057
227,5782.220722518788
228,5704.700403447549
229,5457.231692566287
230,4580.655776914591
231,2836.4485978117254
232,590.347045234816
233,4.969251222515287
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,859.1605680968598
248,3222.189320539086
249,4587.135152429231
250,5370.76512113296
251,5218.35516164325
252,5161.707212098402
253,5517.780037808875
254,4883.862507187959
255,2804.073502469971
256,535.4579992691575
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,538.3066371779396
272,2304.2737842184038
273,4038.1032215766027
274,4552.306576492843
275,5150.067976582974
276,5673.912644403894
277,5322.004723383092
278,4475.176073255408
279,2694.7469568579236
280,448.32105006759735
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,805.2491225984761
296,3122.1630970769884
297,4389.1747950085955
298,5396.95136292862
299,6069.342481396161
300,6412.8290286615065
301,5546.011562685279
302,4654.890803270467
303,3078.4171688875344
304,923.5251506662603
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,684.5448058602042
320,2330.046824611628
321,3853.8076388223158
322,4471.494570057689
323,4301.855186681254
324,3661.217044753774
325,3792.9370365519476
326,3533.488567858576
327,2434.8240908147204
328,671.5723824255356
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,533.5331215541814
344,2283.8402874886456
345,4002.294729748233
346,4511.938308546257
347,5104.39896889896
348,5623.598364799447
349,5274.81104055955
350,4435.491771726554
351,2670.850880138395
352,444.34549526452724
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,1109.4778674981944
368,3870.6896619468957
369,5616.294803609222
370,5719.153687814724
371,5203.860636843467
372,4807.404549177594
373,4407.952571680496
374,3136.6966532959755
375,1742.6092518310975
376,326.551991603879
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,530.5216325139108
392,2270.9493164923824
393,3979.704067186441
394,4486.470999737043
395,5075.587558827117
396,5591.856371363042
397,5245.037751898724
398,4410.455959854453
399,2655.775455897995
400,441.8374193175556
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,924.9276749172453
416,3637.598768214685
417,5560.368124539003
418,6402.929977310332
419,6369.1734928243
420,6381.325827239272
421,6320.564155164417
422,6077.517466864995
423,3832.036118854222
424,723.7390273805015
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,871.1405007474557
440,3442.9266114099814
441,5170.795361973409
442,5944.2528286296965
