,Site1,Site2,Site3,Site4,Site5,Site6,Site7
0,1261.4257686267263,1392.1821856775696,2661.2124929907673,3194.0790410341915,3578.5,3655.0,3313.559519930454
1,0.0,460.78525511094585,345.87214396054196,3488.842895092311,3047.638323918478,3515.564845031908,3393.725892855421
2,687.8859638177764,1703.0235945413542,1552.1960521714655,2297.5706927650144,1012.9082292721082,2941.479575129668,3582.191978964687
3,1417.2717937224947,1390.154841283419,1843.1811554422134,2944.154375521502,2469.498131765685,2633.513990480777,2915.293096134385
4,2986.5,2998.5,2698.0134123112525,3650.0,2717.0238623892615,3488.435501333456,3445.8115874108353
5,193.2094442979037,1617.352848786551,3308.0,3641.0,3739.0,3796.5,3823.0
6,0.0,2546.0215587008474,1906.040679285637,3355.7804800791278,3491.910132793232,3678.8526152349905,3748.5
7,2652.8811037502087,1577.4146324455019,2824.7077619059837,3615.5,3655.0,3708.4367488466237,3788.5170327877477
8,924.1266192472526,2855.0661827767312,2675.1623698375297,3684.5,3799.0,3783.5688372465465,3663.958972591075
9,1978.2268559834054,2327.1145502927316,2522.9987947831705,3690.51151123848,3286.9436503085058,3822.0,3852.0
10,2477.68996074861,2365.3657902573505,3211.805245812911,3530.660264792806,3767.5,3874.5,3887.5
11,2926.0589269542056,3212.5,2957.4099563327804,3615.5660933901972,3842.8269351768586,3578.242884769508,3393.5657532932482
12,3010.9053537029386,3068.0813851850535,3435.091655419186,3661.5080716533157,3364.767541570946,3667.799868122639,3351.514725799183
13,1802.9266311649221,2861.421641164803,3491.0,3556.3463324215363,3938.5,3804.292272555642,3319.6953882884045
14,3203.0,2587.6619503214956,3202.2930412640535,3705.010497376406,2996.7381488263,3866.841317706986,3767.7836072461237
15,3250.0,2177.8020781678943,3590.0,3785.957263621486,3306.0589548558887,4057.0,3997.5
16,2513.6076565286867,2293.725457925862,2706.732596827183,1756.5706525463643,2588.8824110068103,1280.5730815018705,1661.8202338977544
17,2240.809610483092,3148.7956116565147,2645.310256983653,3296.2234646972647,3418.3721166164387,3561.9882961438834,3532.441263956424
